id|titulo|noticia|categoria
1|Expertos advirtieron sobre nuevas modalidades de fraude digital en...|Expertos advirtieron sobre nuevas modalidades de fraude digital en redes sociales. Los resultados serán evaluados al finalizar la semana.|tecnología
2|La empresa migró sus servicios a la nube para...|La empresa migró sus servicios a la nube para mejorar disponibilidad y escalabilidad.|tecnología
3|Un informe destacó el crecimiento del comercio electrónico en...|Un informe destacó el crecimiento del comercio electrónico en negocios pequeños.|tecnología
4|Varios legisladores solicitaron información sobre el uso de recursos...|Varios legisladores solicitaron información sobre el uso de recursos en programas sociales.|política
5|El ministerio anunció líneas de crédito para apoyar a...|El ministerio anunció líneas de crédito para apoyar a productores agrícolas.|economía
6|Un informe destacó el crecimiento del comercio electrónico en...|Un informe destacó el crecimiento del comercio electrónico en negocios pequeños.|tecnología
7|El rector informó cambios en el calendario académico por...|El rector informó cambios en el calendario académico por actividades institucionales. El anuncio fue recibido con expectativa por la comunidad.|educación
8|La institución educativa organizó una feria de lectura con...|La institución educativa organizó una feria de lectura con actividades para niños.|educación
9|Un accidente de tránsito dejó dos personas heridas en...|Un accidente de tránsito dejó dos personas heridas en una avenida de alta circulación. El anuncio fue recibido con expectativa por la comunidad.|crónica roja
10|Pequeños emprendedores reportaron mayores ventas durante la feria local...|Pequeños emprendedores reportaron mayores ventas durante la feria local de negocios. Los resultados serán evaluados al finalizar la semana.|economía
11|El equipo local ganó 1-0 en un partido intenso...|El equipo local ganó 1-0 en un partido intenso y se mantiene en la pelea por el campeonato. Se esperan nuevos detalles en las próximas horas.|deportes
12|El ministerio anunció becas para estudiantes con alto rendimiento...|El ministerio anunció becas para estudiantes con alto rendimiento académico.|educación
13|Pequeños emprendedores reportaron mayores ventas durante la feria local...|Pequeños emprendedores reportaron mayores ventas durante la feria local de negocios.|economía
14|La liga publicó el calendario de la siguiente fecha...|La liga publicó el calendario de la siguiente fecha con varios encuentros decisivos.|deportes
15|Estudiantes crearon una página web para difundir información turística...|Estudiantes crearon una página web para difundir información turística local. El hecho generó comentarios entre los ciudadanos.|tecnología
16|Un centro de innovación presentó soluciones basadas en inteligencia...|Un centro de innovación presentó soluciones basadas en inteligencia artificial. El anuncio fue recibido con expectativa por la comunidad.|tecnología
17|Un informe financiero destacó el crecimiento de pagos digitales...|Un informe financiero destacó el crecimiento de pagos digitales en pequeñas empresas. Se esperan nuevos detalles en las próximas horas.|economía
18|Un accidente de tránsito dejó dos personas heridas en...|Un accidente de tránsito dejó dos personas heridas en una avenida de alta circulación. La medida forma parte de un plan institucional.|crónica roja
19|El comité deportivo presentó un plan para mejorar la...|El comité deportivo presentó un plan para mejorar la infraestructura de los escenarios locales.|deportes
20|El ministerio de salud entregó nuevas dosis de vacunas...|El ministerio de salud entregó nuevas dosis de vacunas a centros comunitarios. La información fue confirmada por fuentes oficiales.|salud
21|El consejo electoral presentó el cronograma preliminar para el...|El consejo electoral presentó el cronograma preliminar para el siguiente proceso democrático.|política
22|La institución educativa organizó una feria de lectura con...|La institución educativa organizó una feria de lectura con actividades para niños.|educación
23|Especialistas recomendaron mantener hábitos de higiene para reducir contagios...|Especialistas recomendaron mantener hábitos de higiene para reducir contagios en escuelas. La medida forma parte de un plan institucional.|salud
24|Estudiantes crearon una página web para difundir información turística...|Estudiantes crearon una página web para difundir información turística local.|tecnología
25|Una universidad presentó nuevos cursos orientados a competencias digitales...|Una universidad presentó nuevos cursos orientados a competencias digitales.|educación
26|El ministerio anunció líneas de crédito para apoyar a...|El ministerio anunció líneas de crédito para apoyar a productores agrícolas.|economía
27|Un nuevo programa busca fortalecer la salud mental en...|Un nuevo programa busca fortalecer la salud mental en adolescentes. El anuncio fue recibido con expectativa por la comunidad.|salud
28|Nutricionistas promovieron una alimentación equilibrada en una jornada educativa...|Nutricionistas promovieron una alimentación equilibrada en una jornada educativa.|salud
29|La nadadora ganó medalla de plata en la competencia...|La nadadora ganó medalla de plata en la competencia sudamericana juvenil. La información fue confirmada por fuentes oficiales.|deportes
30|Docentes participaron en una capacitación sobre evaluación formativa y...|Docentes participaron en una capacitación sobre evaluación formativa y uso de tecnología. El hecho generó comentarios entre los ciudadanos.|educación
31|El comité deportivo presentó un plan para mejorar la...|El comité deportivo presentó un plan para mejorar la infraestructura de los escenarios locales.|deportes
32|Un accidente de tránsito dejó dos personas heridas en...|Un accidente de tránsito dejó dos personas heridas en una avenida de alta circulación. La información fue confirmada por fuentes oficiales.|crónica roja
33|Varios legisladores solicitaron información sobre el uso de recursos...|Varios legisladores solicitaron información sobre el uso de recursos en programas sociales.|política
34|Las autoridades pidieron a la ciudadanía denunciar actividades sospechosas...|Las autoridades pidieron a la ciudadanía denunciar actividades sospechosas en su sector.|crónica roja
